name,data,hit,false_alarm,miss,correct_rejection,hit_catched,time_duration,mode,all_latencies,all_times_checked
Sub7_B21_1C1,"3, 6, 1, 3, 4, 2, 9, 2, 2, 4, 5, 8, 4, 4, 1, 6, 2, 1, 1, 1, 0, 9, 1, 3, 8, 3, 3, 4, 8, 6, 3, 8, 8, 2, 1, 8, 9, 3, 1, 7, 3, 9, 0, 2, 2, 0, 7, 4, 2, 7, 2, 7, 4, 4, 7, 0, 8, 2, 1, 8, 4, 8, 2, 4, 0, 5, 3, 2, 5, 9, 7, 4, 9, 0, 8, 8, 9, 8, 0, 0, 1, 3, 0, 4, 1, 4, 4, 5, 2, 8, 9, 2",16,4,4,65,"{5: ([2, 9, 2, 2], '00:28', 1.79), 9: ([4, 5, 8, 4], '00:40', 1.013), 23: ([3, 8, 3, 3], '01:26', 1.14), 28: ([8, 6, 3, 8], '01:42', 1.171), 32: ([8, 2, 1, 8], '01:57', 2.434), 37: ([3, 1, 7, 3], '02:11', 0.808), 42: ([0, 2, 2, 0], '02:28', 1.191), 46: ([7, 4, 2, 7], '02:42', 2.546), 51: ([7, 4, 4, 7], '02:57', 1.417), 56: ([8, 2, 1, 8], '03:14', 1.784), 60: ([4, 8, 2, 4], '03:26', 0.731), 65: ([5, 3, 2, 5], '03:42', 0.792), 69: ([9, 7, 4, 9], '03:55', 0.69), 79: ([0, 1, 3, 0], '04:29', 1.592), 83: ([4, 1, 4, 4], '04:41', 0.808), 88: ([2, 8, 9, 2], '04:57', 0.922)}",4:59,3,"[1.79, 1.013, 1.14, 1.171, 2.434, 0.808, 1.191, 2.546, 1.417, 1.784, 0.731, 0.792, 0.69, 1.592, 0.808, 0.922]","['00:28', '00:40', '01:26', '01:42', '01:57', '02:11', '02:28', '02:42', '02:57', '03:14', '03:26', '03:42', '03:55', '04:29', '04:41', '04:57']"
Sub7_B21_2C1,"8, 5, 9, 8, 0, 4, 7, 2, 4, 0, 7, 6, 0, 9, 9, 4, 3, 9, 8, 7, 0, 7, 7, 3, 0, 1, 3, 7, 4, 8, 5, 4, 4, 6, 0, 4, 8, 3, 7, 0, 3, 3, 6, 0, 2, 6, 2, 7, 2, 2, 0, 9, 5, 9, 9, 8, 1, 6, 1, 1, 9, 4, 8, 9, 7, 7, 3, 3, 7, 9, 4, 5, 9, 0, 9, 7, 5, 9, 3, 7, 2, 9, 7, 0, 7, 3, 0, 9, 6, 8, 4, 6",20,3,0,66,"{0: ([8, 5, 9, 8], '00:11', 0.571), 5: ([4, 7, 2, 4], '00:27', 0.736), 9: ([0, 7, 6, 0], '00:40', 0.83), 14: ([9, 4, 3, 9], '00:57', 0.89), 19: ([7, 0, 7, 7], '01:13', 1.357), 23: ([3, 0, 1, 3], '01:26', 0.954), 28: ([4, 8, 5, 4], '01:44', 2.396), 32: ([4, 6, 0, 4], '01:55', 1.071), 37: ([3, 7, 0, 3], '02:12', 1.173), 42: ([6, 0, 2, 6], '02:28', 1.006), 46: ([2, 7, 2, 2], '02:40', 0.455), 51: ([9, 5, 9, 9], '02:57', 0.982), 56: ([1, 6, 1, 1], '03:13', 0.545), 60: ([9, 4, 8, 9], '03:26', 1.091), 65: ([7, 3, 3, 7], '03:42', 0.589), 69: ([9, 4, 5, 9], '03:55', 0.729), 74: ([9, 7, 5, 9], '04:12', 0.862), 79: ([7, 2, 9, 7], '04:29', 1.794), 83: ([0, 7, 3, 0], '04:41', 1.369), 88: ([6, 8, 4, 6], '04:57', 0.686)}",4:59,3,"[0.571, 0.736, 0.83, 0.89, 1.357, 0.954, 2.396, 1.071, 1.173, 1.006, 0.455, 0.982, 0.545, 1.091, 0.589, 0.729, 0.862, 1.794, 1.369, 0.686]","['00:11', '00:27', '00:40', '00:57', '01:13', '01:26', '01:44', '01:55', '02:12', '02:28', '02:40', '02:57', '03:13', '03:26', '03:42', '03:55', '04:12', '04:29', '04:41', '04:57']"
Sub5_G19_1C1 ,"9, 3, 4, 9, 5, 0, 5, 7, 0, 6, 3, 3, 6, 4, 2, 7, 6, 2, 6, 3, 8, 0, 3, 5, 2, 5, 5, 4, 8, 1, 6, 8, 0, 8, 9, 0, 1, 0, 8, 2, 0, 5, 9, 4, 2, 9, 5, 6, 3, 5, 7, 8, 2, 6, 8, 3, 5, 5, 6, 5, 0, 5, 3, 0, 8, 8, 6, 1, 8, 8, 9, 9, 8, 6, 7, 7, 9, 7, 6, 7, 6, 2, 7, 8, 0, 9, 8, 4, 2, 6, 6, 2",11,5,9,64,"{0: ([9, 3, 4, 9], '00:11', 0.561), 9: ([6, 3, 3, 6], '00:40', 0.62), 32: ([0, 8, 9, 0], '01:55', 0.842), 37: ([0, 8, 2, 0], '02:11', 0.608), 46: ([5, 6, 3, 5], '02:41', 0.807), 51: ([8, 2, 6, 8], '02:57', 0.705), 56: ([5, 5, 6, 5], '03:13', 1.22), 69: ([8, 9, 9, 8], '03:55', 0.474), 79: ([7, 6, 2, 7], '04:28', 0.883), 83: ([8, 0, 9, 8], '04:41', 0.724), 88: ([2, 6, 6, 2], '04:58', 1.319)}",4:59,3,"[0.561, 0.62, 0.842, 0.608, 0.807, 0.705, 1.22, 0.474, 0.883, 0.724, 1.319]","['00:11', '00:40', '01:55', '02:11', '02:41', '02:57', '03:13', '03:55', '04:28', '04:41', '04:58']"
Sub5_G19_2C1,"7, 4, 5, 7, 9, 4, 1, 6, 4, 2, 8, 1, 2, 3, 6, 9, 0, 6, 4, 4, 5, 0, 4, 7, 1, 5, 7, 0, 9, 2, 6, 9, 4, 1, 4, 4, 4, 7, 6, 1, 7, 9, 4, 2, 8, 4, 7, 4, 5, 7, 6, 4, 5, 2, 4, 3, 3, 5, 4, 3, 3, 6, 2, 3, 9, 0, 5, 2, 0, 7, 5, 8, 7, 1, 1, 5, 0, 1, 1, 3, 9, 8, 3, 1, 5, 1, 1, 6, 2, 5, 0, 2",13,7,7,62,"{0: ([7, 4, 5, 7], '00:11', 0.488), 9: ([2, 8, 1, 2], '00:41', 1.899), 14: ([6, 9, 0, 6], '00:57', 1.146), 19: ([4, 5, 0, 4], '01:13', 0.965), 23: ([7, 1, 5, 7], '01:26', 1.297), 37: ([7, 6, 1, 7], '02:11', 0.741), 46: ([7, 4, 5, 7], '02:41', 1.618), 60: ([3, 6, 2, 3], '03:26', 0.76), 65: ([0, 5, 2, 0], '03:42', 0.846), 69: ([7, 5, 8, 7], '03:55', 0.818), 74: ([1, 5, 0, 1], '04:12', 0.852), 79: ([3, 9, 8, 3], '04:28', 0.686), 88: ([2, 5, 0, 2], '04:58', 2.171)}",4:59,3,"[0.488, 1.899, 1.146, 0.965, 1.297, 0.741, 1.618, 0.76, 0.846, 0.818, 0.852, 0.686, 2.171]","['00:11', '00:41', '00:57', '01:13', '01:26', '02:11', '02:41', '03:26', '03:42', '03:55', '04:12', '04:28', '04:58']"
Sub2_G20_1C1,"2, 3, 9, 2, 7, 6, 7, 6, 6, 6, 3, 7, 6, 5, 8, 4, 0, 8, 8, 2, 1, 7, 2, 8, 1, 6, 8, 5, 3, 6, 3, 3, 7, 1, 5, 7, 4, 1, 4, 2, 1, 1, 0, 2, 9, 0, 4, 6, 4, 4, 7, 8, 0, 6, 8, 3, 5, 0, 2, 5, 1, 3, 7, 1, 1, 1, 6, 9, 1, 2, 1, 3, 2, 0, 0, 0, 3, 0, 6, 1, 6, 9, 1, 0, 6, 7, 0, 3, 0, 9, 8, 0",13,2,7,67,"{0: ([2, 3, 9, 2], '00:11', 0.47), 9: ([6, 3, 7, 6], '00:40', 0.37), 14: ([8, 4, 0, 8], '00:56', 0.594), 19: ([2, 1, 7, 2], '01:12', 0.415), 32: ([7, 1, 5, 7], '01:55', 0.752), 37: ([1, 4, 2, 1], '02:11', 0.378), 46: ([4, 6, 4, 4], '02:40', 0.742), 51: ([8, 0, 6, 8], '02:56', 0.389), 56: ([5, 0, 2, 5], '03:13', 0.394), 60: ([1, 3, 7, 1], '03:26', 0.364), 65: ([1, 6, 9, 1], '03:42', 0.451), 74: ([0, 0, 3, 0], '04:11', 0.646), 88: ([0, 9, 8, 0], '04:57', 0.379)}",4:59,3,"[0.47, 0.37, 0.594, 0.415, 0.752, 0.378, 0.742, 0.389, 0.394, 0.364, 0.451, 0.646, 0.379]","['00:11', '00:40', '00:56', '01:12', '01:55', '02:11', '02:40', '02:56', '03:13', '03:26', '03:42', '04:11', '04:57']"
Sub2_G20_2C1,"0, 4, 3, 0, 3, 5, 9, 8, 5, 2, 1, 2, 2, 9, 7, 1, 2, 7, 5, 1, 4, 2, 1, 0, 5, 8, 0, 1, 7, 4, 4, 7, 3, 0, 3, 3, 2, 4, 0, 8, 4, 9, 2, 1, 8, 2, 6, 1, 4, 6, 7, 2, 7, 8, 2, 6, 5, 9, 8, 5, 4, 2, 0, 4, 7, 5, 1, 3, 5, 4, 0, 4, 4, 8, 6, 0, 4, 6, 8, 1, 5, 4, 1, 1, 6, 9, 1, 2, 8, 9, 5, 8",16,1,4,68,"{0: ([0, 4, 3, 0], '00:11', 0.332), 9: ([2, 1, 2, 2], '00:40', 0.515), 14: ([7, 1, 2, 7], '00:57', 0.802), 19: ([1, 4, 2, 1], '01:12', 0.406), 23: ([0, 5, 8, 0], '01:25', 0.349), 28: ([7, 4, 4, 7], '01:42', 0.483), 32: ([3, 0, 3, 3], '01:55', 0.518), 37: ([4, 0, 8, 4], '02:11', 0.489), 42: ([2, 1, 8, 2], '02:27', 0.452), 46: ([6, 1, 4, 6], '02:41', 0.823), 51: ([2, 7, 8, 2], '02:56', 0.372), 56: ([5, 9, 8, 5], '03:13', 0.366), 69: ([4, 0, 4, 4], '03:55', 0.565), 79: ([1, 5, 4, 1], '04:27', 0.396), 83: ([1, 6, 9, 1], '04:40', 0.395), 88: ([8, 9, 5, 8], '04:57', 0.37)}",4:59,3,"[0.332, 0.515, 0.802, 0.406, 0.349, 0.483, 0.518, 0.489, 0.452, 0.823, 0.372, 0.366, 0.565, 0.396, 0.395, 0.37]","['00:11', '00:40', '00:57', '01:12', '01:25', '01:42', '01:55', '02:11', '02:27', '02:41', '02:56', '03:13', '03:55', '04:27', '04:40', '04:57']"
Sub21_G21_1N,"3, 5, 5, 3, 1, 9, 0, 6, 9, 2, 2, 7, 2, 8, 3, 3, 5, 3, 5, 8, 8, 0, 8, 4, 7, 7, 4, 5, 2, 3, 4, 2, 2, 1, 3, 2, 9, 0, 9, 6, 0, 7, 7, 2, 0, 7, 0, 7, 8, 0, 5, 6, 7, 0, 6, 6, 4, 9, 8, 4, 1, 0, 5, 1, 2, 0, 8, 0, 0, 4, 7, 1, 4, 4, 9, 7, 0, 9, 1, 6, 0, 7, 6, 1, 8, 8, 1, 5, 4, 5, 7, 4",17,18,3,51,"{0: ([3, 5, 5, 3], '00:11', 0.896), 5: ([9, 0, 6, 9], '00:28', 1.454), 9: ([2, 2, 7, 2], '00:40', 0.768), 14: ([3, 3, 5, 3], '00:57', 1.743), 19: ([8, 8, 0, 8], '01:13', 1.041), 23: ([4, 7, 7, 4], '01:26', 1.156), 32: ([2, 1, 3, 2], '01:56', 1.883), 37: ([0, 9, 6, 0], '02:12', 1.601), 46: ([0, 7, 8, 0], '02:40', 0.738), 51: ([6, 7, 0, 6], '02:56', 0.46), 56: ([4, 9, 8, 4], '03:13', 0.806), 60: ([1, 0, 5, 1], '03:26', 0.611), 65: ([0, 8, 0, 0], '03:42', 0.923), 69: ([4, 7, 1, 4], '03:55', 0.394), 74: ([9, 7, 0, 9], '04:12', 1.199), 79: ([6, 0, 7, 6], '04:28', 0.888), 88: ([4, 5, 7, 4], '04:57', 0.443)}",4:59,3,"[0.896, 1.454, 0.768, 1.743, 1.041, 1.156, 1.883, 1.601, 0.738, 0.46, 0.806, 0.611, 0.923, 0.394, 1.199, 0.888, 0.443]","['00:11', '00:28', '00:40', '00:57', '01:13', '01:26', '01:56', '02:12', '02:40', '02:56', '03:13', '03:26', '03:42', '03:55', '04:12', '04:28', '04:57']"
Sub21_G21_2N,"5, 5, 1, 5, 3, 8, 6, 4, 8, 1, 6, 0, 1, 3, 4, 3, 2, 4, 8, 8, 7, 9, 8, 1, 7, 5, 1, 8, 9, 8, 4, 9, 6, 2, 6, 6, 6, 1, 2, 0, 1, 5, 8, 6, 9, 8, 3, 0, 5, 3, 1, 2, 9, 4, 2, 2, 7, 7, 9, 7, 6, 2, 1, 6, 1, 7, 4, 7, 7, 5, 0, 0, 5, 2, 5, 7, 5, 5, 4, 7, 0, 7, 7, 9, 0, 3, 9, 7, 4, 6, 2, 4",17,14,3,55,"{0: ([5, 5, 1, 5], '00:11', 0.867), 5: ([8, 6, 4, 8], '00:28', 1.025), 14: ([4, 3, 2, 4], '00:56', 0.65), 19: ([8, 7, 9, 8], '01:13', 0.915), 23: ([1, 7, 5, 1], '01:26', 0.646), 28: ([9, 8, 4, 9], '01:42', 0.777), 32: ([6, 2, 6, 6], '01:56', 1.475), 42: ([8, 6, 9, 8], '02:28', 1.261), 46: ([3, 0, 5, 3], '02:40', 0.744), 51: ([2, 9, 4, 2], '02:56', 0.45), 56: ([7, 7, 9, 7], '03:13', 1.214), 60: ([6, 2, 1, 6], '03:27', 1.332), 65: ([7, 4, 7, 7], '03:43', 1.164), 69: ([5, 0, 0, 5], '03:55', 0.658), 74: ([5, 7, 5, 5], '04:12', 1.256), 79: ([7, 0, 7, 7], '04:28', 1.237), 83: ([9, 0, 3, 9], '04:41', 1.345)}",4:59,3,"[0.867, 1.025, 0.65, 0.915, 0.646, 0.777, 1.475, 1.261, 0.744, 0.45, 1.214, 1.332, 1.164, 0.658, 1.256, 1.237, 1.345]","['00:11', '00:28', '00:56', '01:13', '01:26', '01:42', '01:56', '02:28', '02:40', '02:56', '03:13', '03:27', '03:43', '03:55', '04:12', '04:28', '04:41']"
Sub27_B21_1C,"9, 1, 8, 9, 2, 9, 2, 5, 9, 9, 3, 5, 9, 8, 1, 7, 5, 1, 6, 0, 2, 1, 0, 6, 2, 5, 6, 1, 6, 0, 9, 6, 2, 4, 3, 2, 8, 6, 5, 4, 6, 8, 9, 1, 1, 9, 2, 6, 4, 2, 9, 1, 5, 0, 1, 9, 7, 5, 0, 7, 0, 5, 6, 0, 3, 2, 1, 4, 2, 3, 5, 5, 3, 8, 9, 2, 5, 9, 0, 4, 5, 3, 4, 3, 0, 0, 3, 6, 5, 8, 1, 5",15,4,5,65,"{0: ([9, 1, 8, 9], '00:11', 0.75), 5: ([9, 2, 5, 9], '00:27', 0.704), 9: ([9, 3, 5, 9], '00:40', 0.766), 14: ([1, 7, 5, 1], '00:57', 0.959), 19: ([0, 2, 1, 0], '01:13', 1.115), 32: ([2, 4, 3, 2], '01:55', 0.876), 37: ([6, 5, 4, 6], '02:12', 1.191), 42: ([9, 1, 1, 9], '02:27', 0.568), 46: ([2, 6, 4, 2], '02:40', 0.464), 51: ([1, 5, 0, 1], '02:57', 1.077), 56: ([7, 5, 0, 7], '03:13', 1.0), 65: ([2, 1, 4, 2], '03:42', 0.567), 74: ([9, 2, 5, 9], '04:12', 1.618), 79: ([4, 5, 3, 4], '04:28', 1.204), 83: ([3, 0, 0, 3], '04:40', 0.507)}",4:59,3,"[0.75, 0.704, 0.766, 0.959, 1.115, 0.876, 1.191, 0.568, 0.464, 1.077, 1.0, 0.567, 1.618, 1.204, 0.507]","['00:11', '00:27', '00:40', '00:57', '01:13', '01:55', '02:12', '02:27', '02:40', '02:57', '03:13', '03:42', '04:12', '04:28', '04:40']"
Sub27_B21_2C,"6, 8, 3, 6, 5, 2, 5, 9, 2, 3, 4, 3, 3, 8, 9, 5, 0, 9, 0, 3, 8, 4, 3, 9, 2, 4, 9, 9, 0, 0, 6, 0, 3, 7, 4, 3, 1, 1, 2, 7, 1, 3, 8, 5, 1, 8, 8, 3, 2, 8, 1, 1, 3, 0, 1, 7, 3, 5, 8, 3, 0, 3, 6, 0, 5, 5, 8, 6, 5, 7, 8, 2, 7, 9, 4, 0, 5, 4, 1, 1, 8, 4, 1, 5, 5, 5, 5, 3, 0, 6, 9, 0",15,2,5,67,"{0: ([6, 8, 3, 6], '00:11', 0.506), 5: ([2, 5, 9, 2], '00:28', 1.105), 9: ([3, 4, 3, 3], '00:41', 1.175), 19: ([3, 8, 4, 3], '01:12', 0.526), 28: ([0, 0, 6, 0], '01:43', 1.579), 32: ([3, 7, 4, 3], '01:56', 1.49), 42: ([8, 5, 1, 8], '02:28', 1.57), 46: ([8, 3, 2, 8], '02:41', 1.37), 56: ([3, 5, 8, 3], '03:14', 1.323), 60: ([0, 3, 6, 0], '03:26', 0.92), 65: ([5, 8, 6, 5], '03:43', 1.248), 69: ([7, 8, 2, 7], '03:56', 1.182), 79: ([1, 8, 4, 1], '04:28', 0.851), 83: ([5, 5, 5, 5], '04:41', 1.28), 88: ([0, 6, 9, 0], '04:57', 0.46)}",4:59,3,"[0.506, 1.105, 1.175, 0.526, 1.579, 1.49, 1.57, 1.37, 1.323, 0.92, 1.248, 1.182, 0.851, 1.28, 0.46]","['00:11', '00:28', '00:41', '01:12', '01:43', '01:56', '02:28', '02:41', '03:14', '03:26', '03:43', '03:56', '04:28', '04:41', '04:57']"
